Gas,NFR/CRT Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carbon Dioxide as Carbon,1A1ci,Solid smokeless fuel production,Coke,kilotonne,-,-,-,-,-,-,-,14.93769079,22.54001755,17.18884691,31.20046131,26.14900079,13.61333169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1cii,Upstream Oil Production - fuel combustion,Gas oil,kilotonne,408.2570444,404.4250896,484.7797766,534.5244787,566.7093646,487.4790218,504.5252791,491.8620874,492.2385638,409.9817643,368.7575671,370.6678094,376.9997494,368.4943022,342.7243,368.7502016,328.1683201,307.8335713,357.7713276,352.3084632,389.5465865,419.0668553,487.4190945,469.3018921,486.8238329,466.8570047,467.7025129,454.8846599,420.1059736,428.526456,415.6259017,386.3911191,323.5760635,316.5618885
Carbon Dioxide as Carbon,1A1cii,Upstream Oil Production - fuel combustion,Natural gas,kilotonne,2132.697506,2070.826964,2236.821408,2347.051594,2422.370834,2462.644891,2434.04951,2658.439229,2776.184326,2863.51347,2800.033116,2794.14525,2712.408376,2652.621221,2526.240118,2381.074277,2315.773306,2267.627045,2145.635422,2082.351546,2025.514819,1748.8734,1594.44912,1457.371759,1424.553987,1604.415489,1619.335782,1640.399583,1699.581267,1784.408642,1714.095112,1477.756231,1420.750761,1349.857887
Carbon Dioxide as Carbon,1A1cii,Oil terminal: fuel combustion,Gas oil,kilotonne,43.88960676,42.30928776,43.37453983,45.9147563,58.21630552,59.41744975,59.38487635,58.70337968,60.52494545,62.41019302,54.61903855,69.20313818,49.05070909,30.09321327,26.86331945,25.02129511,24.52915447,26.23248965,22.94694157,27.11955489,23.6524863,24.0599314,20.67482805,33.40358939,38.81988501,29.15677406,11.04891054,21.85179847,7.620462426,5.287547321,3.327274514,15.56874717,3.714216968,4.185361026
Carbon Dioxide as Carbon,1A1cii,Oil terminal: fuel combustion,Natural gas,kilotonne,212.3224324,196.734533,178.7350698,175.3594866,216.7667478,256.2676255,233.2799698,325.4533072,359.0892955,340.1900327,335.518137,353.5515309,352.7702876,345.6402491,324.5086915,323.5391108,282.2566356,293.5979782,296.1209787,306.2010726,273.6277285,235.3784256,208.8814771,202.0220095,182.2197621,203.3765033,220.289974,219.6721981,216.4713229,201.9725441,202.5933936,180.9082712,187.3377848,111.7145335
Carbon Dioxide as Carbon,1A1cii,Gas terminal: fuel combustion,Gas oil,kilotonne,0.398834743,0.443506877,0.449041549,0.524537052,0.558647388,0.605494721,0.721150834,0.734492052,0.766725273,11.84121011,0.131629091,0.23103,0.284113636,0.480771,0.749413173,0.558951029,2.422779299,0.593559149,1.307019409,1.018921599,0.64416442,0.88054556,1.843920479,2.694508582,0.793012831,0.935007424,1.121010908,0.822436957,0.822123923,0.438460771,0.378224902,0.543241095,0.38900951,0.466153505
Carbon Dioxide as Carbon,1A1cii,Gas terminal: fuel combustion,Natural gas,kilotonne,182.6627853,195.2397055,175.1799195,189.6601344,196.9285552,247.2367348,268.1949558,385.5099448,430.6562277,481.0375896,592.1698894,630.2237967,584.578682,566.5908464,541.4378465,539.2194921,429.6911782,403.6400058,441.1651458,390.0081264,398.9842204,371.6402327,371.5796855,397.459528,403.7029958,375.7060301,408.1475494,387.9489508,389.0362281,386.2993947,359.3248649,328.2510604,309.3878577,288.5143462
Carbon Dioxide as Carbon,1A1cii,Upstream Gas Production - fuel combustion,Gas oil,kilotonne,12.69891339,13.59618599,14.7584549,17.08794092,18.0635808,16.58205443,20.31370696,20.45869406,31.20453818,19.32138327,18.22241519,20.38784446,23.6283634,15.47080691,16.53083556,17.95463411,19.25199687,18.13963167,21.87578179,15.16661458,15.43801502,20.76999659,28.37451604,33.53573063,37.40039798,55.01681473,41.08510005,35.35339618,39.56971951,46.51139485,45.18585092,55.58181009,35.51115364,41.29956549
Carbon Dioxide as Carbon,1A1cii,Upstream Gas Production - fuel combustion,Natural gas,kilotonne,485.2572385,543.5254981,579.8216467,671.3639103,582.0298092,628.3615648,740.1012352,832.8411975,880.5725384,870.2849446,940.5468662,1154.99712,1132.367957,1073.618291,1109.877533,1036.439677,964.8239682,874.0504773,887.1712119,904.1661648,874.6174391,785.4961356,678.9949666,739.5327736,708.9200977,714.5490365,639.3417129,624.719004,552.2508892,579.460845,568.9086312,440.7955072,518.0344182,484.70745
Carbon Dioxide as Carbon,1A1ciii,Collieries - combustion,Coal,kilotonne,79.20900037,74.15141212,52.49002543,31.89267368,14.66949492,5.33436179,5.296529437,5.258697084,3.499492664,6.928049665,8.397147181,7.046557766,6.321173389,4.267023745,5.647546569,4.052249674,2.670219055,3.246553926,3.709046565,3.362211001,3.403505512,2.591048262,2.625321387,1.782202508,0.418132127,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ciii,Collieries - combustion,Colliery methane,kilotonne,39.59142494,31.01524091,31.36768683,34.01103122,40.94246763,23.90758153,21.49920108,19.26704359,17.26985005,19.44326655,21.61668306,36.7131166,35.36207391,49.34242871,43.76203499,39.03749343,39.63688634,40.19002933,43.22810469,42.46087331,49.62036764,41.0388796,32.53674259,25.96621451,22.92042059,20.79815942,26.31603845,24.00519922,23.10232869,21.38754166,17.38071258,17.60506591,18.56675339,10.862339
Carbon Dioxide as Carbon,1A1ciii,Collieries - combustion,Natural gas,kilotonne,16.71574968,31.21688388,51.73148416,20.64295764,13.25685353,18.38185977,17.22188411,9.686912168,3.371365819,0.707625999,0.302090087,0.201609394,-,-,-,-,-,-,4.27685235,3.920802613,3.717022723,3.067572152,4.827108687,3.016047744,5.017132015,3.965248597,3.85543361,3.816471029,3.950449086,4.007158019,3.372086067,2.988709582,2.584367233,2.384944163
Carbon Dioxide as Carbon,1A1ciii,Gas production,Colliery methane,kilotonne,5.169206818,3.465718207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
