PCON25CD,PCON25NM,geometry,CTR_REG,Country,hexmap_geometry,highly_rural,rural,urban,label,density,electorate,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking,no_central_heating,mains_gas_only,tank_or_bottled_gas_only,electric_only,oil_only,other,two_or_more_types_of_central_heating,pop_share,new_ranking_quintile_deprivation,max_nox,min_nox,mean_nox,median_nox,sd_nox,pw_mean_nox,nox_conc_quintile
E14001262,Halifax,"list(list(c(406980.1038, 408443.7011, 409005.3959, 409635.2031, 411447.0965, 412664.3974, 413780.2015, 410384.201, 411898.9012, 412353.8966, 410665.5967, 409917.7037, 406485.9031, 404430.9041, 402742.4646, 403893.1035, 405357.0965, 404525.5986, 405353.5017, 405029.5038, 403344.6008, 404908.6971, 406980.1038, 431621.799000001, 431368.4015, 428333.700200001, 428002.904899999, 429721.103, 429796.3015, 427636.499700001, 425328.600400001, 425278.4047, 422654.095899999, 422616.796599999, 421778.4966, 423543.4014, 
421287.797, 422605.184599999, 424111.398800001, 423976.7973, 425810.202500001, 425772.703199999, 429559.9991, 432187.2971, 432352.999700001, 431621.799000001)))",Yorkshire and the Humber,England,"list(c(-241782.719131607, -231679.089420788, -211471.829999151, -201368.200288333, -211471.829999151, -231679.089420788, -241782.719131607, 7306412.3664, 7323912.3664, 7323912.3664, 7306412.3664, 7288912.3664, 7288912.3664, 7306412.3664))",0.026681873952338984,0,0.973318126047661,Urban,1212.538725828309,74563,107676,13978.696097551916,10185,3,66,19,28.78787878787879,1,1.5151515151515151,82,0.021719596,0.779889101,0.004273785,0.071405089,0.003046442,0.017664979,0.102001008,0.44554279321352713,1,15.44487,6.070312,9.90204453846154,10.05857,2.1986763552296575,11.080011369752553,3
E14001200,Doncaster North,"list(list(c(463354.2003, 462510.4007, 461817.997, 460497.7978, 460175.9024, 456440.799, 455018.897, 454097.9979, 452336.9023, 449687.2035, 447429.0267, 445866.4009, 445691.2016, 447754.3963, 447418.7975, 448107.7961, 446902.599, 446643.803, 444333.2978, 443213.9978, 445931.2978, 447221.1964, 449208.9982, 449827.6004, 451171.8009, 450841.0008, 451854.2034, 452336.2014, 453705.95, 455954.74, 457302.88, 458162.66, 461826.94, 462971.3986, 466828.1991, 467801.5038, 463525.1039, 463354.2003, 407298.501399999, 
407204.498299999, 408340.903000001, 408029.302200001, 406688.596000001, 403644.397399999, 401469.5999, 401758.6972, 399259.9024, 400097.7026, 399414.2884, 400356.1986, 402119.3039, 402439.802200001, 403578.8961, 403928.1962, 404580.6994, 406310.7042, 407566.2048, 409834.895400001, 408972.5022, 409582.197699999, 410855.903100001, 413572.395500001, 413695.500299999, 414112.7009, 414469.998600001, 416582.6039, 415791.710000001, 416628.039999999, 415475.789999999, 417049.880000001, 417330.689999999, 
418147.296, 418525.9976, 413291.9958, 409727.596100001, 407298.501399999)))",Yorkshire and the Humber,England,"list(c(-59917.3843368748, -49813.7546260564, -29606.4952044195, -19502.865493601, -29606.4952044195, -49813.7546260564, -59917.3843368748, 7271412.3664, 7288912.3664, 7288912.3664, 7271412.3664, 7253912.3664, 7253912.3664, 7271412.3664))",0.07603796544171332,0.11157945972256024,0.8123825748357264,Urban with rural areas,298.2290103100293,71739,96655,13023.8640163468,10225,3,63,18,28.57142857142857,2,3.1746031746031744,84,0.007908301,0.817638336,0.014828065,0.028055641,0.017370019,0.023701367,0.09049827,0.4471851197585774,1,14.89499,7.165784,9.46965020762712,9.2294665,1.5549398562210022,11.124690519826016,3
E14001235,Faversham and Mid Kent,"list(list(c(605567.8924, 606136.09, 607101.8029, 610361.09, 609648.38, 609718.002, 607507.3032, 606227.2987, 605878.5986, 604086.6995, 603835.9012, 599979.1007, 599761.2003, 598470.403, 597156.9977, 595250.6983, 595260.5017, 594321.1007, 591628.7007, 590465.3968, 589404.9995, 588582.9999, 586513.8029, 586556.504, 585466.9027, 585729.53, 584589.0016, 584247.1036, 582075.1089, 581871.8994, 580821.8991, 579665.4963, 579745.3003, 578855.05, 577426.5995, 576493.9017, 577761.2005, 573864.7939, 575163.0993, 
576032.3019, 577337.6023, 578650.6035, 581314.7971, 581555.1984, 582152.1985, 584339.0031, 588389.7027, 589524.3962, 590142.0997, 591395.0027, 591781.2014, 593498.1689, 595984.1, 596222.6, 596246.03, 599657.1, 600000.0136, 601866.81, 600746.59, 601722.75, 603197.7701, 601851.47, 605567.8924, 164856.4366, 164026.58, 164098.696599999, 161410.289999999, 161006.060000001, 158140.302100001, 156358.902100001, 156491.1042, 154894.5012, 155196.9047, 154263.7018, 152749.995100001, 151846.9036, 152494.2983, 
151023.599300001, 151416.8967, 152346.2007, 152587.501599999, 149016.603800001, 149074.8971, 150736.701400001, 149771.997500001, 149543.1031, 150447.5042, 150543.9966, 152686.029999999, 152796.1019, 150292.898399999, 150038.5316, 151728.7974, 152667.4987, 152491.698999999, 151587.697799999, 151100.4, 152521.9004, 154659.498500001, 157063.500399999, 158746.6171, 159363.602, 162541.802200001, 161827.5967, 163080.797900001, 162568.804500001, 161730.804400001, 162784.2028, 162995.602299999, 160976.100400001, 
162821.702099999, 161416.104499999, 162639.6042, 161991.299799999, 166144.3814, 165914.300000001, 164553.26, 165686.779999999, 165763.1, 165575.0733, 164551.470000001, 162778.82, 163671.380000001, 162954.656099999, 164244.310000001, 164856.4366)))",South East,England,"list(c(152258.839590313, 162362.469301131, 182569.728722768, 192673.358433586, 182569.728722768, 162362.469301131, 152258.839590313, 6693912.3664, 6711412.3664, 6711412.3664, 6693912.3664, 6676412.3664, 6676412.3664, 6693912.3664))",0.16919354678777182,0.13172168291207648,0.6990847703001517,Urban with rural areas,186.67170393246624,71798,97353,22719.02197672388,22040,5,56,3,5.357142857142857,8,14.285714285714285,300,0.011027307,0.758992358,0.019366241,0.051402683,0.044930675,0.013865034,0.100415702,0.4488393064653208,3,20.3675,7.987025,9.9048994921875,9.37756,1.883796280115086,11.131525173850193,3
E14001275,Havant,"list(list(c(473985, 473570.571, 472432.779, 473895.572, 473446.0219, 472886.87, 474024.924, 473495.584, 474985.596, 474910.798, 473449.9026, 468901.313, 468812.3959, 468805.75, 470955.756, 471714.77, 471225.836, 472798.776, 473985, 103219.699999999, 101410.116, 101556.742000001, 100696.92, 100000.004699999, 99133.1789999995, 99130.5390000008, 98470.841, 99178.1730000004, 98099.8004000001, 98302.5755000003, 99186.6030000001, 100000.0507, 100060.85, 100350.005999999, 102847.911, 103536.297, 104429.993000001, 
103219.699999999)), list(c(470510.5011, 473242.0981, 473027.0998, 474772.5821, 475647.001, 475110.7557, 472298.498, 471835.784, 470591.832, 470435.8, 470317.84, 469055.4136, 468768.703, 468760.8349, 468895.6976, 466675.8, 467536.2025, 469513.2032, 470510.5011, 111135.997, 108591.495300001, 108040.0032, 108783.526900001, 107725.903100001, 105690.979900001, 105241.969000001, 104429.379000001, 105153.311000001, 106239.35, 105320.09, 104844.0395, 103443.189999999, 103452.774700001, 106298.6017, 106762.35, 
109152.9046, 108915.602499999, 111135.997)))",South East,England,"list(c(-150850.051734241, -140746.422023422, -120539.162601785, -110435.532890967, -120539.162601785, -140746.422023422, -150850.051734241, 6588912.3664, 6606412.3664, 6606412.3664, 6588912.3664, 6571412.3664, 6571412.3664, 6588912.3664))",0.027729707884728973,0,0.972270292115271,Urban,1027.9064839172186,72766,94431,19371.64653027078,21405,5,60,5,8.333333333333332,2,3.3333333333333335,293,0.017711706,0.803257776,0.005789422,0.069841036,0.001717201,0.010744775,0.090938083,0.45044384361265555,3,16.40303,6.941548,10.351493791666666,10.433565000000002,2.4566414556815377,11.15883123466253,3
E14001268,Harpenden and Berkhamsted,"list(list(c(514471.5014, 515888.2997, 519051.4019, 521198.6962, 518874.1002, 518946.6979, 519682.2975, 518460.1981, 517110.0034, 515866.4997, 515656.597, 514946.6972, 513127.9028, 513740.0985, 512263.103, 513565.7032, 509769.5986, 509044.7011, 508932.2962, 507551.1, 505532.1979, 502562.2032, 501812.8996, 499269.4967, 498503.3987, 497676.6005, 495853.4031, 491633.28, 490430.4038, 490745.497, 489057.4032, 488073.1985, 486553.6008, 488227.25, 490154.03, 489970.71, 491965.18, 494321.1987, 497872.3959, 
499280.8997, 499773.53, 502157.6015, 503336.703, 502698.7991, 503319.8996, 505409.5031, 504902.3989, 505461.1997, 507035.0004, 508821.2022, 512141.1997, 512849.5, 514471.5014, 218081.1043, 216672.5975, 216602.997400001, 214097.204700001, 212417.395500001, 209999.997500001, 209120.099300001, 208227.2049, 209601.001700001, 208933.8027, 210236.899700001, 210312.9979, 207961.501, 207635.5043, 206536.298900001, 205251.968800001, 204899.297499999, 205858.403000001, 208654.502599999, 210513.000600001, 209305.6962, 
208872.600199999, 205905.404200001, 205520.7995, 205211.098300001, 206880.2005, 206323.5998, 208586.93, 211219.7983, 212098.3968, 214332.5973, 214007.500299999, 216238.1018, 218280.880000001, 218413.83, 216637.42, 213858.199999999, 214362.4987, 212979.5046, 215585.6986, 215225, 212863.297900001, 214040.400900001, 215188.302300001, 216413.9015, 217422.3029, 218264.901699999, 218573.103399999, 217694.095100001, 218022.201099999, 215757.499399999, 217209.8037, 218081.1043)))",East of England,England,"list(c(-211471.829999152, -201368.200288333, -181160.940866696, -171057.311155878, -181160.940866696, -201368.200288333, -211471.829999152, 6938912.3664, 6956412.3664, 6956412.3664, 6938912.3664, 6921412.3664, 6921412.3664, 6938912.3664))",0.11391182983010295,0.1341861416893161,0.751902028480581,Urban with rural areas,288.52252825360546,71635,95453,36843.91747247336,40083,10,60,0,0,36,60,574,0.006595347,0.804035106,0.008023473,0.057878064,0.025264853,0.014385127,0.083818031,0.45206574621163836,5,22.89884,7.198915,10.344168528,9.88899,2.4442631206089063,11.159621792642278,3
E14001170,Chorley,"list(list(c(363060.7988, 363363.72, 364493.1968, 364462.06, 366065.89, 364920.19, 366280.6023, 362425.14, 360675, 358668.0629, 358109.5984, 354475.3, 354144.3011, 355492.1, 355376.6, 356935.6, 356725.6979, 355489.5141, 352675.2135, 353326.95, 356580.4852, 356650.34, 355358.5018, 356645.2, 357066.4, 358535.2382, 359731.81, 362063.8, 363060.7988, 427981.201099999, 425758.539999999, 424383.6009, 422994.880000001, 421811.17, 418840.42, 414615.696900001, 411148.119999999, 412857.4, 410971.683800001, 412599.604, 
412187.9, 413470.4047, 413467.5, 414320.9, 415325.199999999, 416993.1963, 419010.567, 419076.918, 420794.65, 420667.817399999, 421781.310000001, 422495.201400001, 424789.699999999, 424149.1, 424718.6106, 427087.65, 428473.51, 427981.201099999)))",North West,England,"list(c(-393337.164793884, -383233.535083065, -363026.275661428, -352922.64595061, -363026.275661428, -383233.535083065, -393337.164793884, 7393912.3664, 7411412.3664, 7411412.3664, 7393912.3664, 7376412.3664, 7376412.3664, 7393912.3664))",0.058982186786804586,0.11999960480946877,0.8210182084037266,Urban with rural areas,545.4519867,74568,96576,24059.182855989067,28324,7,56,3,5.357142857142857,4,7.142857142857142,417,0.012061679,0.814871502,0.005094232,0.047744146,0.009069103,0.014780126,0.096379212,0.4537067304174712,4,15.67388,7.358127,9.832055277372262,9.549985,1.7627931751660142,11.203559740629672,3
E14001427,Plymouth Sutton and Devonport,"list(list(c(251855.1991, 250138.4568, 250802.02, 250695.1, 249632.7818, 248846.5269, 248404.5961, 248355.4015, 247822.144, 246976.5128, 246882.6, 246164.7, 246227.5, 245458.5197, 244881.5, 244766.0815, 244935.97, 244362.7456, 244216.2, 245171.21, 245130.0013, 245180.8964, 246783.0707, 248312.5025, 251855.1991, 56599.1978999991, 53870.6600000001, 55374.0800000001, 55757.5, 53500.2581999991, 53504.6934999991, 53529.2232000008, 53664.6978999991, 53561.5526000001, 53608.4900000002, 54181.5, 53242.0999999996, 
54412.0500000007, 54137.0913999993, 54189.0965999998, 54636.2072999999, 55398.3300000001, 56198.6582999993, 56766.3499999996, 57467.2699999996, 57448.9092999995, 57477.1965999994, 56140.4717999995, 57813.9002, 56599.1978999991)))",South West,England,"list(c(-605513.388721071, -595409.759010253, -575202.499588616, -565098.869877798, -575202.499588616, -595409.759010253, -605513.388721071, 6466412.3664, 6483912.3664, 6483912.3664, 6466412.3664, 6448912.3664, 6448912.3664, 6466412.3664))",0,0,1,Urban,3367.518974320884,73495,106401,12570.65426546743,9974,3,63,14,22.22222222222222,0,0,77,0.02472167,0.760720484,0.00313254,0.111734327,6.34974e-4,0.018223765,0.08083224,0.45551465744369746,1,15.76138,9.237406,10.93867215,10.531165,1.5871448798701489,11.211948112638284,3
E14001116,Bournemouth West,"list(list(c(408957.452, 408325.2031, 409895.5987, 408987.9988, 409824.4026, 409628.6543, 408769.786, 407871.6704, 407016.652, 406736.3819, 405163.7527, 405330.3678, 403907.9661, 406432.2324, 407586.2972, 408957.452, 96146.8029999994, 94860.2958000004, 93756.7017000001, 92494.9028999992, 91829.7032999992, 90851.8816, 90524.7113000005, 90168.4012000002, 89852.1260000002, 91570.4670000002, 92070.2611999996, 93020.9969999995, 94343.3201000001, 97303.5238000005, 97839.6030000001, 96146.8029999994)))",South West,England,"list(c(-453958.943058794, -443855.313347976, -423648.053926339, -413544.424215521, -423648.053926339, -443855.313347976, -453958.943058794, 6588912.3664, 6606412.3664, 6606412.3664, 6588912.3664, 6571412.3664, 6571412.3664, 6588912.3664))",0,0,1,Urban,2713.391676630065,72094,101834,19338.984784060332,18265,5,60,4,6.666666666666667,0,0,229,0.019279463,0.730087513,0.003531607,0.152880814,0.001288259,0.018213318,0.074719026,0.4572449836698487,3,13.65943,8.535747,10.886819444444445,10.70662,1.1216551173025626,11.216602878733282,3
E14001604,York Central,"list(list(c(461843.903, 461539.9983, 462173.6972, 462816.9026, 464660.3993, 461948.4998, 460416.4026, 458823.1022, 459151.2969, 458152.4984, 457116.9022, 456316.6, 456685.1002, 457762.103, 458482.55, 459936.0041, 461843.903, 454083.2994, 452821.500600001, 453187.3959, 451668.400699999, 450967.5013, 449936.296499999, 449693.695900001, 448229.1951, 450650.702, 450664.9979, 449445.9968, 449714.73, 452863.1987, 453713.6952, 452554.4, 454325.600099999, 454083.2994)))",Yorkshire and the Humber,England,"list(c(-59917.3843368748, -49813.7546260564, -29606.4952044195, -19502.865493601, -29606.4952044195, -49813.7546260564, -59917.3843368748, 7341412.3664, 7358912.3664, 7358912.3664, 7341412.3664, 7323912.3664, 7323912.3664, 7341412.3664))",0,0,1,Urban,2972.9012189243267,74854,111811,26689.058361878528,27240,7,63,1,1.5873015873015872,11,17.46031746031746,395,0.016624351,0.754873606,0.003112926,0.130213048,0.00123634,0.01355558,0.080384148,0.45914483544501417,4,15.36537,8.164499,10.901182545454546,10.58551,2.0475649857049305,11.227960664788052,3
E14001472,Shipley,"list(list(c(418017.6437, 417705.97, 418692.8, 418145.62, 416113.85, 414064.2026, 413216.0002, 415847.8979, 419147.4972, 418935.5991, 417907.4977, 416362.2001, 417572.7977, 415374.7963, 414895.8984, 414745.5003, 413294.6993, 410799.7026, 409829.2012, 407899.8981, 408888.9014, 406980.1038, 404908.6971, 405447.5036, 404906.8008, 404227.1027, 404923, 408711.4018, 409590.1027, 410916.9968, 410758.601, 414518.5962, 414707.5977, 416803.2037, 418017.6437, 446034.1753, 444453.369999999, 444045.1, 443311.779999999, 
443194.16, 444544.5998, 443325.398800001, 440846.1985, 440845.798599999, 439604.304, 440100.402000001, 438568.600500001, 436579.899700001, 435881.499600001, 437024.3025, 436444.398499999, 436781.801899999, 436126.1996, 434952.095699999, 434773.096899999, 433480.796800001, 431621.799000001, 432352.999700001, 433445.8968, 436116.202400001, 436414.697000001, 437757.300000001, 440470.0962, 440268.9038, 442169.499700001, 443421.701300001, 446380.6043, 447441.7006, 447457.8959, 446034.1753)))",Yorkshire and the Humber,England,"list(c(-181160.940866696, -171057.311155878, -150850.051734241, -140746.422023422, -150850.051734241, -171057.311155878, -181160.940866696, 7411412.3664, 7428912.3664, 7428912.3664, 7411412.3664, 7393912.3664, 7393912.3664, 7411412.3664))",0,0.12963628820356798,0.870363711796432,Urban with rural areas,780.7937971,74095,98293,23619.491647421484,24643,6,59,3,5.084745762711865,9,15.254237288135592,354,0.017179605,0.802434543,0.006338999,0.074666973,0.004800184,0.010725769,0.083853927,0.4608149942892812,4,16.56711,6.008981,8.67354072826087,7.722037,2.503174079363933,11.249802025168515,3
