PCON24CD,max_nox,min_nox,mean_nox,median_nox,sd_nox,pw_mean_nox,geometry
E14001073,29.22857,21.51291,24.40710052631579,24.36908,2.464792462810507,24.307489908482037,"list(list(c(548722.306, 547660.05, 545680.9188, 545267.6543, 544417.1617, 543523.1017, 545351.4659, 547387.7511, 547563.4004, 548823.0623, 548252.3, 549604.1025, 549988.8995, 548518.6979, 549103.85, 548722.306, 181860.6504, 182215.800000001, 181645.104800001, 182823.964500001, 183019.877699999, 184859.7609, 185124.375499999, 187190.9087, 186223.9033, 186287.0962, 185896.497, 185773.202299999, 184978.799699999, 184638.997, 183672.15, 181860.6504)))"
E14001074,15.60742,7.831336,10.633059315068493,10.09183,1.6281388149858234,11.428357592686243,"list(list(c(443213.9978, 444333.2978, 444447.2033, 443103.9015, 441914.304, 441430.205, 439386.0962, 436536.298, 435608.9018, 433910.0977, 433388.6965, 431974.8004, 430493.1, 430514, 429321.67, 428285.1026, 428191.8015, 429370.804, 431139.7984, 433094.9002, 433741.6016, 434268.898, 436641.3978, 439781.9004, 441339.7964, 443213.9978, 409834.895400001, 407566.2048, 405070.1993, 405560.098999999, 407597.8957, 406554.6424, 407163.800000001, 406466.1997, 404891.600400001, 406810.4011, 406428.9003, 407511.4005, 
407486.890000001, 408695.58, 408806.630000001, 410115.395099999, 411384.6018, 412239.497099999, 410830.2005, 411587.4037, 411918.5989, 411043.399499999, 413049.5952, 411509.796, 412391.8035, 409834.895400001)))"
E14001075,13.37253,9.384308,10.999415051282051,10.903395,0.9821740658054998,11.609481002816842,"list(list(c(444333.2978, 446643.803, 446902.599, 448107.7961, 447418.7975, 447754.3963, 445691.2016, 441204.2971, 438055.599, 437182.7026, 436447.8038, 436259.0991, 433896.4026, 434418.0017, 432734.8961, 433388.6965, 433910.0977, 435608.9018, 436536.298, 439386.0962, 441430.205, 441914.304, 443103.9015, 444447.2033, 444333.2978, 407566.2048, 406310.7042, 404580.6994, 403928.1962, 403578.8961, 402439.802200001, 402119.3039, 402126.401900001, 398943.2031, 399520.5978, 398827.6962, 397360.0963, 401590.5953, 
403457.800799999, 404797.5973, 406428.9003, 406810.4011, 404891.600400001, 406466.1997, 407163.800000001, 406554.6424, 407597.8957, 405560.098999999, 405070.1993, 407566.2048)))"
E14001076,10.0206,1.523031,2.171688708404803,1.833568,0.8618560654187468,4.267935190138821,"list(list(c(318816.4, 318187.2, 318799.02, 318524.83, 319999.9829, 320218.3, 319999.9712, 319817.63, 320000.0004, 320888.42, 321214.35, 322943.2, 323224.03, 323307.2, 323283.31, 320878.2, 320000.0102, 317158.1, 316717.75, 318306.41, 317336.85, 318663.3, 318816.4, 467718.5, 467376.35, 467560.859999999, 466974, 465813.4561, 465641.699999999, 465104.217900001, 464655.33, 464531.3159, 463927.18, 462410.359999999, 462787.199999999, 462006.76, 462782.050000001, 461870.300000001, 461977, 463560.8507, 468686.35, 
472646.9, 473451.369999999, 472528.4, 468936.550000001, 467718.5)), list(c(327059.15, 325430.39, 327057.0987, 325693.8026, 326449.9984, 326117.4334, 327699.35, 328194.56, 327354.85, 329397.5466, 331540.1033, 332414.6982, 333422.5992, 332650.5673, 332730.9664, 332743.62, 332638.9293, 331681.1556, 331394.9483, 330695.11, 330828.7, 327822.79, 324942.667, 324940.0864, 323393.78, 324783.2, 323456.87, 323015.87, 323315.71, 322174.4, 320655.532, 320286.9, 320000.0058, 318891.3584, 319315.58, 318502.05, 
317993.4, 319999.9847, 320652.89, 320286.47, 320819.35, 320975.84, 321445.8612, 321661.2894, 321703.9945, 321683.559, 321678.0175, 321660.4017, 321628.1711, 321624.5579, 323211.73, 322017.55, 321245.97, 320032.09, 320149.9583, 320000.0254, 319962.4136, 319734.62, 320000.0048, 320417.67, 320000.0025, 319057.6, 320000.0025, 320072.65, 320214.84, 320000.0168, 317545.06, 318305.06, 318487.13, 318887.9374, 319258.88, 318260.7, 316089.03, 315400.1, 313855.79, 312568.7397, 309296.87, 307578.7, 307537.64, 
308442.81, 308111.2428, 308461.557, 314646.6987, 314158.4015, 315497.4983, 317648.9975, 320686.7996, 322528.5979, 324427.0974, 325042.8963, 327795.0977, 327059.15, 498525.77, 495733.82, 490409.201300001, 487509.201400001, 485635.4977, 484254.4034, 484539.060000001, 485709.060000001, 486393.1, 487351.0603, 481514.0974, 481746.7009, 480333.795299999, 479052.668199999, 480000.012599999, 480149.109999999, 480000.0098, 478635.952299999, 478228.3369, 477231.630000001, 474545.380000001, 469805.58, 467017.423800001, 
467015.2764, 465728.529999999, 463819.199999999, 465490.68, 464973.109999999, 465903.619999999, 468119.6, 467588.0395, 466668.4, 467121.7334, 468873.5529, 473913.720000001, 473932.699999999, 475250.029999999, 476139.290999999, 476428.640000001, 477579.93, 477332.25, 479727.5, 479999.990800001, 480124.8835, 480149.6414, 480185.4998, 480200.013800001, 480220.8311, 480274.248299999, 480289.8948, 483210.529999999, 482127.210000001, 484938.58, 485618.99, 487592.2892, 486892.464, 486716.9077, 485653.66, 
485272.396500001, 484672.359999999, 484505.3016, 484128.359999999, 484417.630799999, 484439.93, 483365.58, 483133.3619, 480479.619999999, 480121.33, 480733.529999999, 479999.970699999, 479321.07, 478034.5, 478688.68, 477764.4, 477972.1, 479999.9978, 485155.210000001, 488600.41, 494578.279999999, 495898.939999999, 495794.673900001, 497224.116599999, 501195.603700001, 501895.203400001, 504045.9978, 505676.501, 506514.6011, 508456.7952, 507150.999, 504485.1021, 503364.6028, 498525.77)))"
E14001077,18.77169,10.71299,13.70643546875,12.79526,2.402754274097752,14.952056722323187,"list(list(c(572771.4078, 573600.8004, 572468.3, 573221.1978, 572838.0003, 573401.3029, 572177.8018, 571426.8994, 571632.1024, 565233.498, 564536.9965, 566278.83, 569114.102, 569457.7974, 572771.4078, 194591.2378, 192133.1018, 191101.897, 191168.9978, 188979.9044, 187963.395400001, 187298.8956, 187674.4981, 188445.397399999, 187905.901799999, 193376.3959, 197419.550000001, 197031.899499999, 194818.5031, 194591.2378)))"
E14001078,14.46486,6.141833,8.163411152777778,7.082058,2.1458375272659933,10.390018740237364,"list(list(c(462254.6479, 459737.397, 458896.3019, 456609.5012, 452608.8986, 452604.504, 454914.14, 454471.87, 456580.0004, 457406.4028, 457449.7966, 459269.6959, 459452.9012, 461971.9982, 463927.7289, 463652.5973, 464964.8977, 464877.599, 466004.0875, 466909, 465510.1037, 465312.3033, 462254.6479, 149094.237299999, 147323.398399999, 148024.797700001, 145204.295, 143799.897, 143809.6043, 151863.310000001, 152447.779999999, 154474.8014, 153974.204700001, 155689.9036, 154824.5013, 153391.3015, 153314.4035, 
154488.649700001, 154968.6, 154684.3014, 155810.199100001, 156634.9866, 156347.5, 153922.5101, 151387.0952, 149094.237299999)))"
E14001079,16.4733,5.504387,7.286016772727272,7.0889915,1.3473059557701716,9.135854889227103,"list(list(c(479948.5978, 478438.3005, 478665.1963, 480612.0036, 481410.1998, 480794.4998, 476630.3977, 472832.401, 471833.0006, 470241.4977, 471505.8036, 471119.06, 471730.68, 469532.92, 469197.21, 471583.9008, 471889.9987, 475264.6033, 475241.3028, 473205.3003, 473101.0993, 471120.8005, 468708.9964, 468648.9971, 470255.5968, 469797.0972, 467734.2983, 466914.3022, 464966.8023, 459948.3964, 458594.3018, 452887.6733, 453357.61, 452609.6984, 453294, 455145.302, 454682.1027, 455676.2015, 454755.3024, 
454965.34, 453416.7002, 457442.4997, 457282.9001, 456231.0034, 455831.3983, 457434.8978, 456918.6992, 457940.8972, 457650.5968, 458906.1959, 458861.4995, 460763.0991, 462756.4993, 464482.3967, 465009.1984, 466817.1012, 467405.9965, 469557.001, 470701.1021, 473075.6962, 471779.3995, 472053.5972, 474986.2006, 479948.5978, 396038.3046, 394362.404300001, 392805.6, 391620.2993, 389592.299799999, 388179.1043, 388090.7996, 389728.6007, 391121.901900001, 390548.3961, 386945.297499999, 385184.060000001, 384938.810000001, 
384444.17, 383389.92, 383349.4967, 381436.0045, 381833.7006, 381118.995200001, 380647.700099999, 378759.500600001, 379066.002900001, 378323.0955, 376730.701400001, 375830.499, 375118.2029, 374619.9955, 375340.499299999, 374199.8958, 371325.5985, 370089.102499999, 369248.523499999, 371240.220000001, 372581.499, 374089.630000001, 374556.2038, 375092.4003, 375952.1042, 376996.0954, 379000, 379685.195599999, 383063.6986, 383658.6982, 383448.2985, 384764.8016, 384679.696, 386134.7995, 386873.698000001, 
388479.0984, 389290.496200001, 390420.8026, 392469.1963, 392474.604699999, 393122.9991, 392410.802999999, 393817.000499999, 397691.601399999, 399141.396400001, 401171.5952, 398163.0964, 397069.6994, 396493.904200001, 397208.6996, 396038.3046)))"
E14001080,13.87925,6.272109,8.087807972972973,7.620199,1.5246650329904265,9.838799683379532,"list(list(c(379612.0649, 380725.54, 379868.73, 380483.63, 379455.31, 379891.93, 379223.3035, 378687.1024, 379235.6, 378125.46, 377895.71, 373884.44, 371268.06, 371643.3962, 370270.7997, 368722.303, 369614.86, 369200.7969, 372073.6977, 376235.5984, 377503.5981, 378359.5014, 379612.0649, 170019.151000001, 168580.85, 167450.470000001, 166502.060000001, 166248.41, 163766.880000001, 162606.503699999, 162926.702, 164440.08, 165252.140000001, 162692.26, 161340.5, 164225.810000001, 165945.198000001, 165718.6029, 
167179.8046, 168343.99, 169363.1996, 170365.502699999, 171227.1961, 170938.5987, 169317.3028, 170019.151000001)))"
E14001081,36.33652,25.26363,29.09605090909091,28.40586,3.375098887189691,28.714531197341557,"list(list(c(529693.5963, 528518.9928, 529114.6143, 526419.0425, 525977.8465, 526880.3018, 528564.1539, 529972.1587, 529693.5963, 176836.794, 175719.408, 173061.4737, 174804.359300001, 175557.1493, 177311.904300001, 177799.6646, 177985.095799999, 176836.794)))"
E14001082,33.68292,9.359389,14.611002160714285,13.803655,3.780718931226025,14.468925100086546,"list(list(c(502416.9005, 503946.1037, 504019.494, 505700.3971, 504439.8015, 505195.6015, 504919.2023, 502226.0026, 502226.8023, 499421.2966, 498939.1007, 499474.7988, 497928.6025, 495073.5028, 493055.2025, 493149.897, 494342.7018, 494938.0034, 492975.2996, 490072.799, 490830.3964, 490448.4028, 489387.34, 489046.95, 486248.97, 485072.9, 483921.1012, 482994.4965, 484308.0007, 485659.696, 485368.9999, 490708.5015, 491786.9967, 494064.4969, 494203.25, 496111.2014, 495895.4034, 496465.4999, 497334.7025, 
496630.599, 500658.6989, 501450.4969, 502317.8031, 501794.0026, 502416.9005, 190613.8967, 190047.398800001, 189716.6228, 185577.6983, 183254.903200001, 180097.7969, 178392.095100001, 178595.3969, 180037.1043, 180119.7006, 182116.199100001, 182536.198899999, 181359.795600001, 183109.8047, 181910.098099999, 179292.5974, 178838.997199999, 177932.796599999, 177400.8989, 179967.904100001, 185026.0962, 185952.0011, 185885.109999999, 187236.25, 185834, 186063.300000001, 184464.397, 185854.799000001, 187862.1044, 
187919.298, 191099.797599999, 190188.998299999, 190761.104499999, 192012.296399999, 193756.279999999, 193533.7009, 191459.9045, 189734.398399999, 189427.896199999, 188596.1043, 186380.498500001, 186543.301899999, 188535.9015, 189628.6987, 190613.8967)))"
