year,model_run,gini,slope,cv,mean_emission_Q1,mean_emission_Q5,se_Q1,se_Q5,q1_q5_ratio,absolute_gap,se_ratio,se_gap,ratio_ci_lower,ratio_ci_upper,gap_ci_lower,gap_ci_upper
2026-01-01,BUS_only,0.13996977735719263,-0.5233793792245365,0.28208851175632427,3.8603865850604038,1.9092184488316222,0.2478883507462855,0.08678100557779815,2.021972177894484,1.9511681362287816,0.15907397887732214,0.26263963403265567,1.7101871792949326,2.3337571764940352,1.4363944535247763,2.465941818932787
2026-01-01,ECO_only,0.1388491425590402,-0.5196928507872111,0.27996413985159757,3.856262018463534,1.9201966811920006,0.2482706179014581,0.08703413410533636,2.008264078484753,1.9360653372715333,0.15812254182517843,0.26308409342382805,1.6983438965074034,2.3181842604621026,1.4204205141608304,2.451710160382236
2026-01-01,present_day_scenario,0.13963871392016322,-0.5223070756111087,0.28146099146353676,3.859326329572116,1.9125450111191213,0.2480031544699652,0.08685674807606902,2.0179009158659436,1.9467813184529947,0.15878577651196177,0.2627730186175954,1.7066807939024984,2.3291210378293887,1.4317462019625078,2.461816434943482
2026-01-01,suitability_probability,0.13906615904514066,-0.5192435013627776,0.28037757667788915,3.8468287763154425,1.9123999979704407,0.24735423830921222,0.08659356153242362,2.0115189188443523,1.9344287783450018,0.15819388293901748,0.26207358529313896,1.701458908283878,2.3215789294048266,1.4207645511704494,2.4480930055195542
2027-01-01,BUS_only,0.1402654916143387,-0.5238025368760645,0.28266090472309296,3.8575587129805777,1.9045666270239257,0.24777584781872952,0.0867021795030719,2.0254259726310524,1.952992085956652,0.15945681439363818,0.26250740692954383,1.7128906164195215,2.3379613288425833,1.4384775683747462,2.467506603538558
2027-01-01,ECO_only,0.1387389715349281,-0.5187427565055701,0.27976765147318716,3.851459411610584,1.9192252836739092,0.24829470852149224,0.08704689092676905,2.0067781747007123,1.9322341279366748,0.15818173437938485,0.2631110478482225,1.696741975317118,2.3168143740843066,1.4165364741541588,2.447931781719191
2027-01-01,present_day_scenario,0.13982182013494454,-0.5223640681380024,0.28182007658896757,3.856095276081993,1.908990475467118,0.2479292832045685,0.08680410630560449,2.0199656968631183,1.947104800614875,0.1590719144398475,0.2626859005387343,1.7081847445610172,2.3317466491652192,1.4322404355589557,2.4619691656707943
2027-01-01,suitability_probability,0.13904775078753212,-0.5182381410132048,0.2803552600278891,3.8393250075846157,1.9088517181709144,0.2470572910001442,0.08645168123701474,2.0113270041025006,1.9304732894137013,0.15826966904293088,0.26174643880105863,1.701118452778356,2.321535555426645,1.4174502693636264,2.443496309463776
2028-01-01,BUS_only,0.1406783493974002,-0.524385781513412,0.2834599964031466,3.8535825541980833,1.8980740685214137,0.24761756099943127,0.08659060284853777,2.030259312904473,1.9555084856766696,0.15999292233189968,0.26232115625122626,1.7166731851339496,2.3438454406749964,1.441359019424266,2.469657951929073
2028-01-01,ECO_only,0.13857279788070134,-0.5173408846300134,0.2794708785926743,3.844308059766445,1.917763181835671,0.24832900872287147,0.0870659132009469,2.0045791347848785,1.926544877930774,0.15827098610731466,0.26314970988925446,1.6943680020145417,2.314790267555215,1.4107714465478352,2.4423183093137126
2028-01-01,present_day_scenario,0.14007899469462046,-0.5224403005903043,0.2823247072471235,3.8515236054919844,1.9039868298083158,0.2478248809578976,0.0867292417965392,2.0228730289482817,1.9475367756836686,0.1594758091546924,0.2625626268233898,1.7103004430050845,2.3354456148914786,1.4329140271098244,2.4621595242575127
2028-01-01,suitability_probability,0.13902163254461453,-0.5168333434859022,0.2803235064900347,3.828845862891704,1.9039002358774821,0.24664152052363797,0.08625357185475983,2.0110538308363832,1.924945627014222,0.15837513036595913,0.26128857285368673,1.7006385753191033,2.3214690863536633,1.412820024220996,2.437071229807448
2029-01-01,BUS_only,0.14126336110681503,-0.5251970820721946,0.28459261077944337,3.8478873540205027,1.8888792226678586,0.24739130570804238,0.08642990569677532,2.0371272592991603,1.9590081313526442,0.16075611981700685,0.262054549166168,1.7220452644578268,2.3522092541404938,1.445381214986955,2.4726350477183336
2029-01-01,ECO_only,0.1383166535988254,-0.5152272768571438,0.2790131465450161,3.833400428630044,1.915496986474239,0.24837840301151737,0.08709505545686443,2.001256308779684,1.917903442155805,0.15841003343678414,0.2632059645364938,1.6907726432435872,2.311739974315781,1.4020197516642772,2.433787132647333
2029-01-01,present_day_scenario,0.1404471740847292,-0.5225436279517506,0.28304739886373714,3.844931467196254,1.8968115964341208,0.24767296045958567,0.08662005839272353,2.02704974728353,1.9481198707621332,0.16005666521320797,0.26238317373409126,1.7133386834656426,2.3407608111014175,1.4338488502433142,2.4623908912809522
2029-01-01,suitability_probability,0.13898411184709278,-0.514841328605739,0.2802777743521872,3.813994020522401,1.8968858686308387,0.246051024507636,0.08597268569409866,2.0106607801740437,1.9171081518915625,0.15852460631049287,0.2606384648257305,1.6999525518054777,2.3213690085426095,1.4062567608331307,2.4279595429499943
2030-01-01,BUS_only,0.14209139542520344,-0.5263142262758395,0.2861958803172594,3.83970336318912,1.8758687022109801,0.24706663103180151,0.08619642073918198,2.0468934519049653,1.96383466097814,0.1618434622263331,0.26167105899898524,1.7296802659413524,2.364106637868578,1.450959385340129,2.4767099366161514
2030-01-01,ECO_only,0.1379256078139816,-0.5120538124812953,0.2783166468537921,3.8167649565235333,1.911953678638379,0.24844286203114085,0.08713998761389229,1.9962643442500598,1.9048112778851543,0.1586276149981209,0.26328166122154006,1.685354218853743,2.3071744696463767,1.3887792218909358,2.4208433338793727
2030-01-01,present_day_scenario,0.14097584227648524,-0.5226787207773136,0.284085498399665,3.8353606676905865,1.8864756733454071,0.2474518946771063,0.08645858877325117,2.03308249445332,1.9488849943451794,0.1608976419665688,0.26212120813080325,1.717723116198845,2.3484418727077947,1.435127426408805,2.4626425622815535
2030-01-01,suitability_probability,0.13893024486036865,-0.5120192953960148,0.2802123064889392,3.7929601855714252,1.8869549939318422,0.2452144442725263,0.08557473083650857,2.0100957350699957,1.906005191639583,0.1587376791818405,0.2597174584767547,1.6989698838735883,2.321221586266403,1.3969589730251437,2.4150514102540224
2031-01-01,BUS_only,0.143261665167425,-0.5278288349334956,0.28846244585315634,3.8278735466923863,1.8574878056349937,0.24659854885301896,0.0858540188933088,2.0607799066459034,1.9703857410573926,0.16339404753691272,0.2611163665045671,1.7405275734735546,2.381032239818252,1.4585976627084412,2.482173819406344
2031-01-01,ECO_only,0.137345173765112,-0.5073620352081724,0.27729588541725325,3.7915939427183583,1.906372642262305,0.24850591467820163,0.08720906744765858,1.9889049279572375,1.8852213004560532,0.15896766846377156,0.2633640276786864,1.6773282977682453,2.3004815581462297,1.3690278062058279,2.4014147947062785
2031-01-01,present_day_scenario,0.1417375235404041,-0.5228440085672491,0.2855824033541012,3.821342809445671,1.87151556442413,0.24712421278196736,0.08621595568954639,2.0418439910872492,1.949827245021541,0.16212229135716502,0.2617318619476217,1.7240843000272057,2.3596036821472928,1.4368327956042024,2.4628216944388797
2031-01-01,suitability_probability,0.1388517766847391,-0.5080227188508187,0.2801165670168761,3.763202981598308,1.8729192375773123,0.2440264130480196,0.0850124123374404,2.009271358900742,1.8902837440209959,0.1590399882284405,0.2584105271008007,1.6975529819729986,2.3209897358284852,1.3837991109034264,2.3967683771385655
2032-01-01,BUS_only,0.1449293411600996,-0.5298460913614685,0.2916934712417364,3.8104148889372667,1.8312786690066087,0.2459094545518574,0.08533579094135554,2.0807400607162947,1.979136219930658,0.16562980421729454,0.2602953266072573,1.7561056444503973,2.405374476982192,1.4689573797804336,2.489315060080882
2032-01-01,ECO_only,0.1364927951658732,-0.5004345870403039,0.2758337666177959,3.753272985830278,1.8973896694321488,0.24850779873057016,0.087315119693624,1.9781244971959597,1.855883316398129,0.15950109555241013,0.2634009418301792,1.6655023499132358,2.2907466444786837,1.3396174704109778,2.37214916238528
2032-01-01,present_day_scenario,0.14285001149972434,-0.5230156977149572,0.2877722524721972,3.8003604150968124,1.8495298200858856,0.24662714102883315,0.08583950692237483,2.0547710957806222,1.9508305950109268,0.16393783622371164,0.26113859852716603,1.7334529367821474,2.376089254779097,1.4389989418976814,2.4626622481241722
2032-01-01,suitability_probability,0.13873502026825194,-0.5023031932041936,0.27997352682081655,3.7206777346696063,1.852890675945709,0.2423237205516567,0.08420939939809727,2.0080395368013737,1.8677870587238972,0.1594749904004749,0.25653851268179145,1.695468555616443,2.3206105179863044,1.364971573867586,2.3706025435802083
2033-01-01,BUS_only,0.14729368552998495,-0.5323868507408649,0.2962757894818247,3.784232292462172,1.7940033736264478,0.24488119956828433,0.08452699205569425,2.109378582055072,1.9902289188357243,0.1688486143949903,0.25905909420050344,1.778435297840891,2.440321866269253,1.4824730942027375,2.4979847434687112
2033-01-01,ECO_only,0.13522716680273206,-0.4901430347861765,0.27374859411579366,3.694324488508225,1.8826493447552375,0.2483411022561756,0.0874724931143271,1.9623008919850247,1.8116751437529874,0.16035253172909159,0.2632959174036853,1.6480099297960051,2.276591854174044,1.2956151456417642,2.3277351418642107
2033-01-01,present_day_scenario,0.144473263706597,-0.5230867605169545,0.29097631111841077,3.7685455520212296,1.8171384112247586,0.2458551568917662,0.08523558428124844,2.073890204919071,1.951407140796471,0.1666395203058523,0.26021118922529213,1.7472767451196005,2.4005036647185416,1.4413932099148985,2.4614210716780436
2033-01-01,suitability_probability,0.1385583046883939,-0.4941237926075067,0.2797555566733391,3.6599967758902405,1.8243729510839792,0.23987868772485824,0.0830639755475137,2.006166981217079,1.8356238248062613,0.16009885909095622,0.25385312457867837,1.6923732173988049,2.3199607450353534,1.3380717006320517,2.333175948980471
2034-01-01,BUS_only,0.14992861872450813,-0.5345964149114781,0.30138213623769555,3.7518936989420406,1.7518122870868722,0.24361774233503972,0.08346406329599296,2.1417213057576783,2.0000814118551684,0.1724869909597168,0.25751864833891025,1.8036468034766333,2.4797958080387232,1.4953448611109044,2.5048179625994322
