PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001083,70132.5,7481,249244
E14001084,30017,3603,105523.85714285714
E14001085,70132.5,7481,249244
E14001086,70132.5,7481,249244
E14001087,17784.948,2421.96,61696.98714285715
E14001088,19603.225999999995,2597.5199999999995,68211.79214285714
E14001089,70132.5,7481,249244
E14001090,19792.138000000003,2615.76,68888.65500000001
E14001091,29969.772,3598.44,105354.64142857143
E14001092,30017,3603,105523.85714285714
E14001093,30017,3603,105523.85714285714
E14001094,30017,3603,105523.85714285714
E14001095,30017,3603,105523.85714285714
E14001096,30017,3603,105523.85714285714
E14001097,30017,3603,105523.85714285714
E14001098,30017,3603,105523.85714285714
E14001099,30017,3603,105523.85714285714
E14001100,30017,3603,105523.85714285714
E14001101,13439.972,2002.44,46129.14142857143
E14001102,29922.544,3593.88,105185.42571428572
E14001103,29473.878,3550.56,103577.87642857143
E14001104,30017,3603,105523.85714285714
E14001105,30017,3603,105523.85714285714
E14001106,23853.746000000003,3007.92,83441.20642857144
E14001107,26215.146000000004,3235.9200000000005,91901.99214285715
E14001108,29946.158,3596.16,105270.03357142858
E14001109,17926.632,2435.64,62204.63428571428
E14001110,29946.158,3596.16,105270.03357142858
E14001111,30017,3603,105523.85714285714
E14001112,29780.859999999997,3580.2,104677.77857142857
E14001363,23216.168000000005,2946.36,81156.7942857143
E14001364,22035.468,2832.36,76926.40142857142
E14001365,17855.79,2428.8,61950.81071428571
E14001366,27395.846,3349.92,96132.38500000001
E14001367,30017,3603,105523.85714285714
E14001368,23499.536,2973.7200000000003,82172.08857142858
E14001369,29804.474000000002,3582.48,104762.38642857144
E14001370,25695.638000000003,3185.76,90040.61928571429
E14001371,70132.5,7481,249244
E14001372,18115.544,2453.88,62881.497142857144
E14001373,22578.59,2884.8,78872.38214285714
E14001374,22909.186,2916.7200000000003,80056.89214285715
E14001375,18918.42,2531.4,65758.16428571429
E14001376,24066.272,3028.44,84202.67714285714
E14001377,30017,3603,105523.85714285714
E14001378,30017,3603,105523.85714285714
E14001379,30017,3603,105523.85714285714
E14001380,25790.093999999997,3194.8799999999997,90379.05071428572
E14001381,25624.796000000002,3178.92,89786.79571428572
E14001382,17950.246,2437.92,62289.24214285715
E14001383,17666.878,2410.56,61273.94785714286
E14001384,17100.142,2355.84,59243.35928571429
E14001385,12873.236000000003,1947.7200000000003,44098.552857142866
E14001386,16273.652,2276.04,56282.084285714285
