year,model_run,mean_emission_Q1,mean_emission_Q5,median_emission_Q1,median_emission_Q5,p25_Q1,p25_Q5,p75_Q1,p75_Q5,abs_median,abs_p25,abs_p75,rel_median,rel_p25,rel_p75
2034-01-01,Suitability-driven uptake,3.5908306152441516,1.7919934621895124,2.8506319782101293,1.4995941244424382,2.375848909206186,1.1628517620360301,3.8010819671937623,2.193558130956006,1.351037853767691,1.2129971471701557,1.6075238362377564,1.90093568102637,2.043122766608124,1.7328384935653192
2035-01-01,Current trends persist,3.6844891189816744,1.7386100026436329,2.955470953395758,1.4719683129030572,2.3785732915332733,1.0852156640995743,3.9275574178949624,2.110892769736145,1.4835026404927008,1.293357627433699,1.8166646481588176,2.007835989055291,2.191797787499524,1.8606143685763323
2035-01-01,Suitability-driven uptake,3.5191506120937617,1.7585813386416045,2.77667338877188,1.4744282586995552,2.3216629630824936,1.1420731385058573,3.7085263114328972,2.157301903671548,1.302245130072325,1.1795898245766363,1.551224407761349,1.8832204092594538,2.032849635286809,1.7190576363564574
2036-01-01,Current trends persist,3.631732452039936,1.6950967341161798,2.892755992941887,1.429980963979311,2.325558609696016,1.0460998679392917,3.8869950728281193,2.0756807646711817,1.462775028962576,1.2794587417567242,1.8113143081569376,2.022933217860472,2.2230751393527326,1.872636264201194
2036-01-01,Suitability-driven uptake,3.4420695373721517,1.7228525306591775,2.689746624290584,1.4476432520708307,2.258818991737402,1.119994511203252,3.609046953697348,2.1186395972174807,1.2421033722197534,1.13882448053415,1.4904073564798672,1.858017588548107,2.016812555010353,1.703473756667862
2037-01-01,Current trends persist,3.5722051817797063,1.6514456923204999,2.837426742465726,1.3896387802345784,2.2823051270646486,1.0134154889649982,3.839992545655031,2.0368184869642834,1.4477879622311476,1.2688896380996504,1.8031740586907476,2.041844818109317,2.252092208888151,1.8852895190372294
2037-01-01,Suitability-driven uptake,3.363357441371313,1.686634259288872,2.6016645705511787,1.4206873476028012,2.199567674486098,1.0950022272589977,3.507588865218726,2.079160277874535,1.1809772229483775,1.1045654472271005,1.4284285873441913,1.8312717255778346,2.008733516453242,1.6870218725053907
2038-01-01,Current trends persist,3.5050313752410114,1.6083982205460412,2.7988926892107036,1.3510201270009934,2.2421862357087092,0.990469173319717,3.785318432687242,1.9937203417703382,1.4478725622097102,1.2517170623889924,1.791598090916904,2.071688373306259,2.2637617566568586,1.8986205604573616
2038-01-01,Suitability-driven uptake,3.2829511343098474,1.6499779980853402,2.512532253849858,1.3936400173756656,2.1397260312842348,1.0665737527715178,3.4040652975081533,2.0315895821550796,1.1188922364741922,1.073152278512717,1.3724757153530738,1.8028559904451904,2.0061679051487107,1.6755674115522743
2039-01-01,Current trends persist,3.42956411645197,1.5665567671569842,2.7524639974746448,1.3149576492675004,2.1907134164979447,0.9734640699486912,3.712911530262505,1.9464763108741105,1.4375063482071444,1.2172493465492535,1.7664352193883945,2.0931959284072077,2.250430687815126,1.9075040931760097
2039-01-01,Suitability-driven uptake,3.20095998862452,1.6130183544766366,2.426368313240636,1.360543241281146,2.0731857634100357,1.0395878363310018,3.3018617256345193,1.9837397844769318,1.0658250719594902,1.0335979270790339,1.3181219411575875,1.7833819900908576,1.994238188402523,1.6644631274081882
2040-01-01,Current trends persist,3.3492758114613026,1.528609592338285,2.698698281127957,1.2854836681423683,2.1144563684504343,0.9509839711407939,3.6271684192854647,1.8980526497973305,1.413214612985589,1.1634723973096404,1.7291157694881343,2.099364113297373,2.223440596915579,1.9109946289807953
2040-01-01,Suitability-driven uptake,3.1215171021736356,1.5776791713223999,2.3724571594046684,1.3279959969386694,2.0030353523818114,1.016808777671735,3.2405982487312865,1.938280215642362,1.044461162465999,0.9862265747100765,1.3023180330889246,1.7864942099778296,1.9699233487817789,1.6718935799782313
2041-01-01,Current trends persist,3.2612413844458223,1.4931572597737333,2.6196496403612124,1.2459063012354783,2.039740492239893,0.9359328969118732,3.5341344945574047,1.8488514675138243,1.373743339125734,1.1038075953280198,1.6852830270435804,2.102605659641892,2.179366169273515,1.9115297019017992
2041-01-01,Suitability-driven uptake,3.0415409167287644,1.5425796864519483,2.319298523464049,1.295940138147519,1.936971169098273,0.9942903491175935,3.179947859848716,1.8890224946389207,1.0233583853165298,0.9426808199806794,1.2909253652097954,1.7896648581155676,1.9480941063314994,1.6833827383599
2042-01-01,Current trends persist,3.166262309569242,1.4613048511243019,2.554951294956518,1.2048095726019148,1.958252899416617,0.9200125471501537,3.436710251022669,1.801230484781506,1.350141722354603,1.0382403522664634,1.635479766241163,2.1206266559111313,2.1285067312207144,1.907979173159259
2042-01-01,Suitability-driven uptake,2.9625685782635216,1.508354780287318,2.2582287595654496,1.2666100231878654,1.874182673736271,0.9766777720954243,3.1209551237547206,1.838266746300548,0.9916187363775841,0.8975049016408467,1.2826883774541726,1.7828919069200402,1.918936549272832,1.6977705384898798
2043-01-01,Current trends persist,3.0658457147459215,1.4334424122591425,2.459335190230804,1.1939959523277759,1.8690212246715934,0.9097479823758184,3.312095301141957,1.7781928788911532,1.265339237903028,0.9592732422957749,1.5339024222508038,2.059751698015528,2.0544384388637176,1.8626186959017155
2043-01-01,Suitability-driven uptake,2.886172016970275,1.4755417616989053,2.2017363256914777,1.2393305445678047,1.8156174830028673,0.9514141185547262,3.0645353504863753,1.803511760873064,0.962405781123673,0.864203364448141,1.2610235896133113,1.7765529425075983,1.908335652786964,1.6992045280607768
2044-01-01,Current trends persist,2.9631847876874806,1.4096147618714745,2.3545514356166928,1.1702266396720493,1.8009186221090907,0.9039383191454542,3.1850317387371687,1.7578457573755515,1.1843247959446435,0.8969803029636365,1.4271859813616172,2.012047372529944,1.9923025542402102,1.8118948863251765
2044-01-01,Suitability-driven uptake,2.8141262856294174,1.4447154392843617,2.159445479909418,1.207378554605643,1.76704069212086,0.9320153276543088,3.0055716603341245,1.7793580621626999,0.9520669253037748,0.8350253644665511,1.2262135981714246,1.7885405299539556,1.8959352273402397,1.689132572159781
2045-01-01,Current trends persist,2.8616242437684662,1.3911697145823878,2.2488532464570805,1.1570377473114895,1.7465438334756143,0.8990257739232272,3.0609345752122654,1.738588654585942,1.091815499145591,0.847518059552387,1.3223459206263235,1.9436299737692657,1.9427071883088873,1.7605858448105716
2045-01-01,Suitability-driven uptake,2.7485776084118894,1.4168085553171252,2.1208796385104405,1.1823187146701808,1.7240267673905234,0.911952023420458,2.9501146345970817,1.757238224205087,0.9385609238402597,0.8120747439700654,1.1928764103919947,1.7938307261778228,1.8904796777841635,1.6788359107835877
2046-01-01,Current trends persist,2.766393412055533,1.3770185735310199,2.1651550592789732,1.1465814086156814,1.7241702254366278,0.883479436295024,2.9533749035970036,1.7092829384869719,1.0185736506632919,0.8406907891416038,1.2440919651100317,1.888357026382506,1.9515680327174796,1.727844370933276
2046-01-01,Suitability-driven uptake,2.688209709313179,1.3935504611207437,2.0906904238833697,1.1629865474479475,1.6931817739891635,0.8983297681996111,2.890242528214523,1.7276335640825404,0.9277038764354222,0.7948520057895524,1.1626089641319826,1.7976909780007098,1.8848109390636762,1.6729488175632812
2047-01-01,Current trends persist,2.6913914048553584,1.367252675204847,2.0660423849306357,1.1388137969488845,1.686879087009304,0.8799628698910922,2.8673689850077566,1.695680593018296,0.9272285879817512,0.8069162171182118,1.1716883919894605,1.8142056150583938,1.9169889375196922,1.6909841374688765
2047-01-01,Suitability-driven uptake,2.644858789789313,1.376278062715983,2.066035263864758,1.147771310740509,1.6653755884106105,0.887788637931365,2.8463710304412237,1.7054103146713604,0.9182639531242489,0.7775869504792455,1.1409607157698634,1.8000408657468634,1.8758694550215238,1.669024167353961
2048-01-01,Current trends persist,2.6506382429844964,1.3614145095300683,2.0361201565845484,1.1340651665589714,1.6538967907050757,0.8773803522875732,2.8355307534774816,1.6880455934915226,0.902054990025577,0.7765164384175025,1.147485159985959,1.7954172446391512,1.8850396938943406,1.6797714258490624
2048-01-01,Suitability-driven uptake,2.6213215843240687,1.3664101059769767,2.047656818619266,1.1389688010010408,1.6486167184956426,0.8817251597601415,2.82146058829047,1.6950439700448614,0.9086880176182253,0.7668915587355011,1.1264166182456088,1.797816425541752,1.8697625901296964,1.6645353384052903
2049-01-01,Current trends persist,2.6257324890322824,1.3567258925397911,2.028098755578814,1.130032956761403,1.6416457994596745,0.8747135607929074,2.8157346467122615,1.6842679124164557,0.8980657988174112,0.7669322386667671,1.1314667342958058,1.7947253161458285,1.8767810092844117,1.6717854837431807
2049-01-01,Suitability-driven uptake,2.6063830802453936,1.3601046094342604,2.0358606406696573,1.1333187662836426,1.6363261265134754,0.8778355675500223,2.8055906970364357,1.6885649645999643,0.9025418743860147,0.7584905589634531,1.1170257324364714,1.7963707133745017,1.864046282700013,1.6615236937011213
2050-01-01,Current trends persist,2.6076714778300807,1.3521833090619086,2.0201717239966768,1.1261332852389234,1.6320163830881633,0.8722203010839864,2.800406354487343,1.6782270139461826,0.8940384387577534,0.7597960820041769,1.1221793405411606,1.7939010865557283,1.8711057069640664,1.6686695728383423
2050-01-01,Suitability-driven uptake,2.5926722702037024,1.3542335845473157,2.0248666028206213,1.1280137882369698,1.6244888480037352,0.8741998392307859,2.790853767483032,1.682503606731438,0.8968528145836514,0.7502890087729492,1.108350160751594,1.7950725637719271,1.8582580036083436,1.6587505407520409
