PCON24CD,avg_exposure_pop_weighted,total_population,total_nox,n_cells
E14001298,1.3791062625615345,107058.89701552689,108.1191769985162,439
E14001299,2.706799567254537,91373.01757192612,83.00901359631098,85
E14001300,3.474591919819251,104986.28197479248,54.34702151454985,24
E14001301,5.39911144348045,149583.55627441406,82.55527698993683,17
E14001302,2.9406967449811128,119232.59268188477,85.63903550803661,33
E14001303,1.659192532564181,65559.35835015774,51.86902739913785,107
E14001304,1.6985454324217506,67010.49401779473,73.25861767712922,234
E14001305,9.356847789638133,116826.44140625,74.8617935180664,8
E14001306,22.985121279352438,120063.4580078125,179.19158029556274,8
E14001307,1.9863917326188192,93471.29392337799,60.92015955271199,40
E14001308,2.407408492013389,99944.56902527809,86.68421580764698,146
E14001309,0.8934235609843506,102725.43828481436,102.36713255067298,608
E14001310,21.459703715328875,124043.61474609375,266.1082844734192,12
E14001311,2.0966284856825252,114796.09491075575,113.89850340976409,211
E14001312,4.6604144346998355,112364.63166427612,90.47731231269427,26
E14001313,2.4516231080539956,101293.46198797226,95.374831517227,33
E14001314,3.1249784364160305,115116.59516906738,92.15260959230363,37
E14001315,3.3410416133415923,100082.7222290039,84.11702688783407,35
E14001316,1.5749011767736083,106007.32044768333,73.78725256538019,183
E14001317,2.1331661198254723,88311.19133090973,78.9578172758338,49
E14001318,2.7140366155260134,94128.2150144875,115.35793290895526,334
E14001319,10.816635660938289,108376.275390625,220.06774121522903,21
E14001320,3.9656188069122513,123012.19326972961,104.63472358329454,52
E14001321,2.619328843393625,86903.34607505798,61.85941446000652,37
E14001322,1.9637141012078805,90519.7133808136,73.29691360378638,82
E14001323,3.736137069589473,119628.10897827148,126.40906873904169,38
E14001324,1.921516127767248,94351.56370925903,72.27326924190857,56
E14001325,2.743502453188883,105653.70304870605,68.06720130704343,34
E14001326,4.4769176352576965,129687.45178222656,84.34455454349518,23
E14001327,5.923639882161534,108109.18041992188,84.91587388515472,17
E14001328,4.379748261317725,136318.4503479004,124.7934931665659,35
E14001329,2.126385601886197,108863.09273719788,69.65362263610587,54
E14001330,1.3648553374488808,98338.90822443366,75.60772117743909,276
E14001331,3.96191386833972,115371.06164550781,61.290730595588684,17
E14001332,7.948745704311758,122570.09423828125,92.19721531867981,12
E14001333,4.64205188189719,95673.095703125,53.49797987937927,12
E14001334,5.573942152321585,116542.95812988281,72.525945246219635,17
E14001335,1.4735353122070602,96358.31042158604,87.90040095961012,306
E14001336,3.2945157953365674,112082.87360954285,100.73231471661711,57
E14001337,2.8044962180863844,89990.31237220764,90.02110858634114,34
E14001338,9.574567545085229,97443.47175121307,144.9889553785324,19
E14001339,4.00041338631328,116374.40747070313,93.90129673480988,27
E14001340,3.36916058137921,106432.24267578125,64.8825675547123,21
E14001341,3.8907083834139735,97392.17175292969,74.4515928030014,19
E14001342,2.4358376018839434,98095.62433433533,86.75219966683653,119
E14001343,0.9484887965794689,95656.66118749976,95.89391201605031,1055
E14001344,1.7749198825939865,92294.73189049959,58.14888681466982,102
E14001345,4.179494490809692,104740.86022949219,85.25847589969635,21
E14001346,3.8643379078776166,137950.305975914,116.8620181659935,87
E14001347,2.3988834610133196,94853.67697271705,99.76871001006657,272
E14001348,2.3193702378770737,106084.72249269485,110.78992796721286,170
E14001349,3.292446510910859,102588.31315231323,95.78511672548484,50
E14001350,2.001365950697162,103794.58854484558,77.46581065451028,56
E14001351,1.014979477230639,101554.57719349861,71.12684788758634,328
E14001352,9.980289385656503,105299.84307861328,177.5584073960781,26
E14001353,8.616317536139873,111004.2333984375,122.03635358810425,14
E14001354,4.795178948405339,92863.0443725586,72.05576975643635,20
E14001355,2.1389364247602076,104794.34013748169,74.6399836941273,66
E14001356,1.249706616874256,94387.39876484871,85.30686963410699,327
E14001357,1.2669294351346325,90739.94665464759,78.29382570728194,449
E14001358,1.999396428783346,101740.29367113113,118.13939382517128,135
E14001359,1.1151964992691128,110261.0165001154,138.23240490016178,318
E14001360,0.6715325813410549,101477.07853531837,84.32876637754089,492
E14001361,2.006055152043128,93767.46843004227,99.35251800663536,101
E14001362,1.4615878578331556,89901.34321093559,67.65189239970641,140
E14001363,1.1648159043530144,96630.49146652222,70.03811794010107,253
E14001364,1.6915542986673204,99749.90534114838,114.90445210842881,130
E14001365,0.7511193849358455,96002.53212529421,78.42891088560282,735
E14001366,2.0078402935679445,97937.99881649017,79.94573924416909,161
E14001367,3.082728740470435,116449.50812149048,101.6043590605259,38
E14001368,1.4271472635121922,86462.51058906317,59.07431070902385,155
E14001369,3.3083925736086486,121134.4879617691,188.0226167049259,63
E14001370,1.7879885416938999,102743.32258367538,77.84647195896832,184
E14001371,4.709143072786567,116880.69952392578,72.40212418138981,18
E14001372,1.5388033161307948,97836.413236171,88.78361914292327,535
E14001373,1.2665952770282376,88931.91817760468,82.1749408638716,292
E14001374,1.2339681492943848,86698.1741528064,76.09654128119291,279
E14001375,1.2454422871319475,104981.654607974,120.30466794276435,635
E14001376,1.8284508886069861,96415.94062454998,96.1836554283218,331
E14001377,6.237088135955014,139795.48992919922,174.8625124692917,36
E14001378,2.966642196423202,106378.10009765625,77.50959974527359,27
E14001379,5.058523492426633,98317.51007843018,126.8558298908174,31
E14001380,2.4821748282707836,94581.4074280262,94.2626416998246,105
E14001381,1.2967913853858586,93073.70729613304,68.46940732488292,194
E14001382,1.6890800151846501,93771.53235333785,112.32243001268944,216
E14001383,2.505314073320314,103488.0904250145,128.7871665142011,147
E14001384,0.9402758920629013,108155.64017897844,88.60233417450218,494
E14001385,0.6423056310797564,97972.19716741145,97.76824343661428,1166
E14001386,1.1842516055478265,97585.6139729917,134.7544121464016,883
E14001387,1.2677814222449542,97812.35247070342,101.30515341239516,945
E14001388,0.9624573331921342,92458.72445342317,89.43766600062372,653
E14001389,1.430169892047627,100497.31469939649,86.32451809516351,193
E14001390,1.4329029223985634,100225.4834446311,85.82667757093441,445
E14001391,1.2066328370989268,96756.00201964378,77.83302297902992,206
E14001392,1.2329862658715893,111872.72704231739,95.75155555261881,305
E14001393,1.3889097266378636,106120.78382843733,85.37713908789738,431
E14001394,1.2382156662857076,98727.58259773254,64.24245526577579,201
E14001395,0.7517161982436058,91595.84123844653,137.10252776950074,1348
E14001396,0.6888660171978157,81068.01318663359,77.87396471494867,674
E14001397,1.217301204388307,89319.54612817988,120.7537896069116,1193
E14001398,1.1974007507541407,100707.03505319357,111.37624468602007,744
E14001399,1.6669685731291932,89477.79917091131,156.31399878137745,191
E14001400,1.3486907788496583,97037.3416864276,94.26200770636206,264
E14001401,2.001936174840246,118137.65574263036,156.07195016619517,317
E14001402,0.9990228243299417,113260.11316458881,106.12526315348805,570
E14001403,1.4951327093366755,108963.28797352314,87.24159873541066,371
E14001404,1.4023991845235575,101774.15439033508,123.89438988571055,225
E14001405,1.171885240247039,102325.33972500265,101.7231275081067,542
E14001406,4.276690846616081,128903.22258377075,109.90519849956036,31
E14001407,2.303539153744988,101221.17332839966,115.1770173534751,48
E14001408,2.2401404249606007,90424.6136932373,67.68000403605402,39
E14001409,3.7322412050365688,108877.64727783203,93.39104396104813,31
E14001410,7.365289770529684,129585.29107666016,136.10643243789673,21
E14001411,2.7835141635878684,107436.40585517883,72.63436511388863,41
E14001412,6.271633706795582,100503.94411849976,151.42794046620838,32
E14001413,2.307783871139207,96663.8688826561,77.75231352364062,76
E14001414,2.7202644434760903,98401.86575317383,59.98414824530482,28
E14001415,2.5364335551627932,108255.67374813557,72.61142879393446,72
E14001416,4.257608850595009,118098.52220153809,102.64348120987415,30
E14001417,2.2119933122184388,97020.21198987961,64.12259328432265,67
E14001418,1.2260961197897906,95158.00370979309,72.80449179530842,145
E14001419,3.7980905190817857,111544.169921875,90.87579126656055,28
E14001420,5.198531167115124,104614.29446816444,138.42631732922746,101
E14001421,7.720422663034092,115975.529296875,65.61502289772034,9
E14001422,2.348425546035283,108228.34672605991,86.82987635478639,210
E14001423,1.2030786908716777,91457.57591205835,62.77483675442636,214
E14001424,1.2518725933227486,97927.1680123061,137.6994205911069,1282
E14001425,2.5858498994668584,127715.99624729156,95.95223048905609,143
E14001426,1.8023176798165685,96307.27030944824,54.86180303990841,32
E14001427,5.223259632318466,102338.00205230713,87.54948729276657,20
E14001428,1.9042457282421053,99632.12000656128,89.93483939795988,71
E14001429,3.249191017936192,92341.95240783691,76.43010273575783,27
E14001430,16.46080299814344,126240.8583984375,195.16691088676453,9
E14001431,3.2226877687433495,80081.71371459961,55.218654692173004,22
E14001432,8.04549430992597,111847.76113891602,104.4228188097477,13
E14001433,4.31533391447361,114646.71622276306,134.78440185217187,41
E14001434,7.41514745965302,104030.95922851563,88.33876064419746,14
E14001435,9.471921641559215,117738.99609375,69.64134550094604,8
E14001436,1.583895321034873,96765.23460388184,89.03644849473494,94
E14001437,1.5955192772410516,94064.86565589905,49.40522726860945,67
E14001438,5.440674411596961,108383.07543945313,112.94351905584335,28
E14001439,1.2754918869541099,91426.14241234958,75.1497135735699,283
E14001440,1.7951030684487284,92329.15127779171,59.329308668966405,58
E14001441,1.7692654992250874,94294.6064581871,73.03440609921745,180
E14001442,2.3831908700539595,114384.06972908974,108.86942630191334,89
