PCON24CD,mean,min_nox_emission_per_km2,max_nox_emission,median_nox_emission_per_km2,stdev,mean_nox_emission_per_km2,sd_nox_emission_per_km2,sum,area_km2,total_nox_t_per_km2,total_nox
E14001080,1.2476171255111694,0.0011623769532889128,11.149999618530273,0.23663274620641983,2.1881086826324463,3.5587856769561768,2.9978129863739014,94.11418151855469,75.43515016517725,1.2476170765548518,94.11418151855469
E14001081,8.464141845703125,2.4500060081481934,17.68294906616211,8.531813917916873,3.53330397605896,8.722111701965332,3.0461537837982178,84.0605239868164,9.931369607831417,8.46414213811257,84.0605239868164
E14001082,0.7703040838241577,2.0925450371578336e-4,9.677387237548828,0.35408161955324224,1.153262972831726,1.7771892547607422,1.4211500883102417,124.7771987915039,164.3984679333379,0.7589924672661787,124.7771987915039
E14001083,3.0489015579223633,0.1466083973646164,6.762279033660889,2.6452678327033725,1.2773245573043823,3.4339327812194824,1.2163947820663452,71.46321105957031,23.439002060110866,3.048901607512905,71.46321105957031
E14001084,2.991320848464966,0.006701339036226273,17.08555030822754,2.1877372441639813,2.3377089500427246,3.55368709564209,2.2269506454467773,88.96227264404297,29.740129321269333,2.9913209752056984,88.96227264404297
E14001085,17.864412307739258,3.743607997894287,55.60110855102539,8.470731722902176,15.798952102661133,14.8666410446167,10.991766929626465,159.75437927246094,8.942605375664591,17.864411159995797,159.75437927246094
E14001086,19.642915725708008,3.917041063308716,88.4723129272461,10.506621632496472,21.382312774658203,16.05501365661621,14.899893760681152,120.46603393554688,6.132797864338874,19.64291610457853,120.46603393554688
E14001087,0.16519996523857117,3.360144910402596e-5,11.78635025024414,0.017304110753170905,0.6495794057846069,1.6215732097625732,2.4856560230255127,93.20994567871094,707.217665493672,0.13179810152740726,93.20994567871094
E14001088,0.16921484470367432,1.5191610145848244e-4,4.73800802230835,0.04465206214444147,0.4033728837966919,1.2161707878112793,1.2024619579315186,72.18306732177734,468.491704192853,0.15407544397427245,72.18306732177734
E14001089,2.9177627563476563,0.005561131983995438,23.209280014038086,2.5945059433782887,3.073918342590332,3.030264139175415,2.1530656814575195,67.189727783203125,23.961411907094895,2.804080495912199,67.189727783203125
E14001090,0.24622146785259247,1.179686005343683e-4,6.440495014190674,0.038696041720507585,0.6472063064575195,1.463925838470459,1.3714759349822998,96.36821746826172,448.5545043338444,0.21484171162516744,96.36821746826172
E14001091,2.3058032989501953,0.0021633279975503683,6.83262300491333,2.057394301251824,1.4258579015731812,2.718829393386841,1.192002773284912,70.61780548095703,30.626117861777892,2.305803360375939,70.61780548095703
E14001092,3.170186996459961,0.02616335079073906,10.754199981689453,2.6371409496930225,2.006953716278076,3.4839284420013428,1.8832378387451172,92.90534973144531,29.305952555965003,3.1701869971305587,92.90534973144531
E14001093,3.263024091720581,0.6705111861228943,29.326820373535156,2.7961941954898646,1.9487038850784302,3.0397932529449463,1.084265947341919,81.80445861816406,25.07013724557817,3.263023964202374,81.80445861816406
E14001094,4.13033390045166,0.9300624132156372,8.7337064743042,3.651747538113221,2.0385539531707764,4.7434282302856445,2.088970422744751,75.37847137451172,18.249971163994253,4.130333724758287,75.37847137451172
E14001095,3.433443784713745,0.002319173887372017,29.326820373535156,2.6469450624125916,3.8752264976501465,3.299121379852295,2.650805950164795,80.96666717529297,23.58176629770088,3.4334437104139592,80.96666717529297
E14001096,10.839530944824219,1.454671025276184,48.93267059326172,5.1946637159961835,11.980286598205566,10.9979829788208,13.021315574645996,272.67681884765625,25.155776551513835,10.839530963763748,272.67681884765625
E14001097,3.5110554695129395,0.02646086923778057,31.041690826416016,2.134655545257393,5.570232391357422,3.2777304649353027,4.729476451873779,91.568359375,26.08000949197501,3.5110554466314974,91.568359375
E14001098,3.810443878173828,2.0925450371578336e-4,12.522990226745605,3.174936423835564,2.6529743671417236,4.243613243103027,2.0744922161102295,97.7646484375,25.657024604235364,3.810443726251928,97.7646484375
E14001099,2.696164131164551,0.9786791801452637,31.041690826416016,2.1463048316582247,2.559553861618042,2.8404321670532227,2.1512866020202637,56.48273849487305,20.94929427900642,2.696164259407783,56.48273849487305
E14001100,3.0395193099975586,6.640029023401439e-4,15.579959869384766,2.645494639819507,1.5154399871826172,3.176788568496704,1.333250880241394,58.43827438354492,19.226156170737237,3.0395193851847337,58.43827438354492
E14001101,0.13928170502185822,2.0925450371578336e-4,6.516143798828125,0.020544903246989675,0.4989670515060425,1.5743573904037476,1.6629951000213623,96.8071060180664,1330.4861850907387,0.07276069988766114,96.8071060180664
E14001102,2.11563777923584,0.0012360529508441687,7.81625509262085,1.8250032955912898,1.8405377864837646,3.389519453048706,1.6771039962768555,84.50464630126953,39.942872270521995,2.115637696982405,84.50464630126953
E14001103,2.615910530090332,0.12268789857625961,8.954976081848145,2.0327384716192385,1.7523096799850464,3.0513765811920166,1.6654359102249146,73.25238037109375,28.002631829443988,2.615910562166193,73.25238037109375
E14001104,2.1653144359588623,0.006960161030292511,6.131266117095947,1.8137818959456238,1.6179981231689453,2.7332210540771484,1.5209985971450806,71.26075744628906,34.33575770271551,2.0754094918561607,71.26075744628906
E14001105,3.7333271503448486,0.012777529656887054,13.335249900817871,3.1491751004181765,2.7415173053741455,3.8571300506591797,1.8862224817276,90.87744903564453,24.342213862540007,3.733327196483757,90.87744903564453
E14001106,0.5715510249137878,5.465869908221066e-4,5.0639262199401855,0.2893888390517785,0.7895227670669556,1.4161860942840576,1.0584982633590698,62.08168411254883,114.12531034232565,0.5439782281978566,62.08168411254883
E14001107,0.8303501605987549,3.0232840799726546e-4,5.364842891693115,0.2145425588497936,1.2012470960617065,2.125211238861084,1.5171946287155151,67.03430938720703,86.76502233945304,0.7725960021648697,67.03430938720703
E14001108,1.2906129360198975,2.0925450371578336e-4,4.541683197021484,1.0313837342581647,1.1685173511505127,2.108945369720459,1.1227940320968628,60.29017639160156,48.69379277957114,1.2381491140878131,60.29017639160156
E14001109,0.4749079644680023,2.0925450371578336e-4,15.624500274658203,0.13918442648567267,1.2938411235809326,1.1608257293701172,1.5941241979599,101.26512145996094,228.35862032772624,0.4434477722567752,101.26512145996094
E14001110,1.7876460552215576,1.3310270151123405e-4,10.074259757995605,1.4131681729989602,1.763099193572998,2.7205488681793213,1.7137149572372437,71.07450103759766,39.75870925362384,1.7876460874071134,71.07450103759766
E14001111,2.302518129348755,0.0011963649885728955,10.074259757995605,2.09112324359011,1.966510534286499,3.063347101211548,1.877598762512207,79.6681900024414,34.60046006425475,2.302518228211234,79.6681900024414
E14001112,1.4211236238479614,2.3319140018429607e-4,23.48773956298828,0.7130275525939789,2.816776990890503,2.1618096828460693,1.605709433555603,108.41769409179688,77.28762443737638,1.4027820738576868,108.41769409179688
E14001113,3.280687093734741,0.1869557946920395,10.475199699401855,2.7581139613760453,2.303192377090454,3.8329250812530518,2.346583843231201,81.50514221191406,26.004331564723998,3.134290993369709,81.50514221191406
E14001114,0.15208397805690765,2.0925450371578336e-4,8.989295959472656,0.026903719590931584,0.5084463357925415,1.4363033771514893,1.3818029165267944,105.66307830810547,819.5775686317166,0.12892382899706467,105.66307830810547
