LSOA21CD,number_of_households
E01001240,657
E01001241,656
E01001242,612
E01001243,960
E01001244,1171
E01001245,921
E01001246,818
E01001247,813
E01001248,566
E01001249,1090
E01001250,978
E01001251,735
E01001252,966
E01001253,774
E01001254,744
E01001255,589
E01001257,810
E01001258,649
E01001259,516
E01001260,691
E01001261,858
E01001262,542
E01001263,736
E01001264,627
E01001265,631
E01001266,597
E01001267,820
E01001268,639
E01001269,794
E01001270,585
E01001271,633
E01001272,590
E01001273,584
E01001274,589
E01001275,907
E01001276,697
E01001277,717
E01001278,800
E01001279,556
E01001280,775
E01001281,618
E01001282,614
E01001283,774
E01001284,587
E01001285,576
E01001286,613
E01001287,505
E01001288,536
E01001289,477
E01001290,795
E01001291,510
E01001292,508
E01001293,568
E01001294,570
E01001295,526
E01001296,417
E01001297,514
E01001298,583
E01001299,644
E01001300,599
E01001301,809
E01001302,618
E01001303,649
E01001304,698
E01001305,633
E01001306,697
E01001307,607
E01001308,685
E01001309,598
E01001310,756
E01001311,954
E01001312,607
E01001313,519
E01001314,511
E01001315,500
E01001316,613
E01001317,727
E01001318,717
E01001319,507
E01001320,547
E01001321,793
E01001322,734
E01001323,774
E01001324,644
E01001325,620
E01001326,675
E01001327,591
E01001328,593
E01001329,639
E01001330,644
E01001331,629
E01001332,578
E01001333,714
E01001334,517
E01001335,516
E01001336,566
E01001337,764
E01001338,535
E01001339,700
E01001340,546
E01001341,588
E01001342,641
E01001343,478
E01001344,902
E01001345,524
E01001346,680
E01001347,686
E01001348,669
E01001349,490
E01001350,615
E01001351,833
E01001352,644
E01001353,634
E01001354,890
E01001355,890
E01001356,632
E01001357,1139
E01001358,821
E01001359,623
E01001360,553
E01001361,604
E01001362,716
E01001363,527
E01001364,550
E01001365,677
E01001366,564
E01001367,747
E01001368,471
E01001369,553
E01001370,570
E01001371,618
E01001372,696
E01001373,585
E01001374,902
E01001375,708
E01001376,734
E01001377,696
E01001379,717
E01001380,1058
E01001381,857
E01001382,563
E01001383,649
E01001384,700
E01001385,666
E01001386,754
E01001387,725
E01001388,669
E01001389,758
E01001390,714
E01001391,733
E01001392,667
E01001393,818
E01001394,670
E01001395,598
E01001396,524
E01001397,770
E01001398,498
E01001399,500
E01001400,574
E01001401,500
E01001402,699
E01001403,642
E01001404,515
E01001405,830
E01001406,651
E01001407,594
E01001408,709
E01001409,782
E01001410,815
E01001411,741
E01001412,658
E01001413,610
E01001414,693
E01001415,871
E01001416,592
E01001417,665
E01001418,722
E01001419,768
E01001420,633
E01001421,621
E01001422,615
E01001423,624
E01001424,479
E01001425,739
E01001426,618
E01001427,643
E01001428,566
E01001429,1013
E01001430,649
E01001431,654
E01001432,732
E01001433,576
E01001434,539
E01001435,485
E01001436,651
E01001437,894
E01001438,548
E01001439,768
E01001440,575
E01001441,623
E01001442,637
E01001444,649
E01001445,1142
E01001446,706
E01001447,741
E01001448,666
E01001449,542
E01001450,1113
E01001451,694
E01001452,481
E01001453,649
E01001454,666
E01001455,562
E01001456,493
E01001457,843
E01001458,641
E01001459,559
E01001460,670
E01001461,627
E01001462,528
E01001463,512
E01001464,420
E01001465,500
E01001466,623
E01001467,665
E01001468,575
E01001469,671
E01001470,650
E01001471,967
E01001472,756
E01001473,546
E01001474,860
E01001475,637
E01001476,611
E01001477,612
E01001478,571
E01001479,641
E01001480,578
E01001481,558
E01001482,657
E01001483,533
E01001484,500
E01001485,665
E01001486,804
E01001487,667
E01001488,664
E01001489,655
E01001491,694
E01001492,666
E01001493,731
E01001494,502
E01001495,722
E01001496,641
E01001497,508
E01001498,697
E01001499,535
E01001500,551
E01001501,921
E01001502,659
E01001503,646
E01001504,561
E01001505,597
E01001507,812
E01001508,785
E01001509,648
E01001511,670
E01001512,992
E01001513,724
E01001514,668
E01001515,744
E01001516,669
E01001517,686
E01001518,660
E01001520,696
E01001521,681
E01001522,746
E01001523,723
E01001524,549
E01001525,758
E01001526,636
E01001527,785
E01001528,684
E01001529,653
E01001530,618
E01001531,530
E01001532,664
E01001533,538
E01001534,604
E01001535,496
E01001536,848
E01001537,689
E01001538,597
E01001539,640
E01001540,798
E01001541,646
E01001542,656
E01001543,584
E01001544,639
E01001545,664
E01001546,610
E01001547,724
E01001548,674
E01001549,813
E01001550,577
E01001551,640
E01001552,662
E01001553,546
E01001554,686
E01001555,774
E01001556,537
E01001557,549
E01001558,604
E01001559,675
E01001560,512
E01001562,827
E01001563,700
E01001564,639
E01001565,707
E01001566,627
E01001567,608
E01001568,567
E01001569,750
E01001570,725
E01001571,630
E01001572,651
E01001573,522
E01001574,751
E01001575,621
E01001576,670
E01001577,726
E01001578,849
E01001579,624
E01001580,792
E01001581,729
E01001582,660
E01001583,767
E01001584,664
E01001585,602
E01001586,663
E01001587,952
E01001588,638
E01001589,677
E01001590,714
E01001591,808
E01001592,736
E01001593,765
E01001594,834
E01001595,731
E01001596,638
E01001597,633
E01001598,606
E01001599,603
E01001600,638
E01001601,569
E01001602,715
E01001603,739
E01001604,600
E01001605,568
E01001606,608
E01001607,669
E01001608,582
E01001609,740
E01001610,704
E01001611,712
E01001613,799
E01001614,546
E01001615,941
E01001617,734
E01001618,756
E01001619,828
E01001620,502
E01001621,668
E01001623,669
E01001624,626
E01001625,618
E01001629,838
E01001631,789
E01001632,664
E01001633,775
E01001634,657
E01001635,641
E01001636,599
E01001637,688
E01001638,679
E01001641,816
E01001642,757
E01001644,1180
E01001645,706
E01001646,1130
E01001647,568
E01001648,692
E01001649,574
E01001650,610
E01001651,744
E01001652,706
E01001653,598
E01001654,569
E01001655,634
E01001656,585
E01001657,704
E01001658,730
E01001659,551
E01001660,564
E01001661,578
E01001664,884
E01001665,771
E01001666,743
E01001669,917
E01001671,683
E01001672,642
E01001673,799
E01001674,711
E01001675,701
E01001676,674
E01001677,728
E01001678,645
E01001679,553
E01001680,617
E01001681,526
E01001682,551
E01001683,599
E01001684,566
E01001685,652
E01001686,752
E01001687,513
E01001688,936
E01001690,812
E01001692,558
E01001693,613
E01001694,611
E01001695,562
E01001696,1143
E01001697,935
E01001698,755
E01001699,664
E01001700,798
E01001701,776
E01001702,440
E01001703,763
E01001704,619
E01001705,848
E01001708,684
E01001710,652
E01001712,912
E01001714,855
E01001715,659
E01001716,836
E01001717,427
E01001718,825
E01001719,697
E01001720,789
E01001722,922
E01001723,681
E01001724,1070
E01001725,567
E01001726,464
E01001727,561
E01001728,588
E01001729,499
E01001730,1131
E01001731,1156
E01001732,756
E01001733,735
E01001734,852
E01001735,652
E01001736,678
E01001737,706
E01001738,793
E01001739,884
E01001740,626
E01001741,576
E01001742,781
E01001744,815
E01001745,914
E01001746,599
E01001747,1076
E01001749,670
E01001750,926
E01001751,647
E01001753,626
E01001755,692
E01001756,956
E01001757,608
E01001758,1081
E01001759,724
E01001760,871
E01001761,924
E01001762,799
E01001763,816
E01001764,673
E01001765,750
E01001767,629
E01001768,748
E01001769,632
E01001770,771
E01001772,766
E01001773,1042
E01001774,854
E01001775,704
E01001776,752
E01001777,1147
E01001780,851
E01001781,684
E01001783,669
E01001784,757
E01001785,585
E01001786,842
E01001787,648
E01001788,647
E01001789,625
E01001790,584
E01001791,493
E01001792,715
E01001793,606
E01001794,644
E01001795,515
E01001796,634
E01001798,726
E01001799,449
E01001800,661
E01001801,546
E01001802,458
E01001803,684
E01001804,459
E01001805,507
E01001806,674
E01001807,651
E01001808,543
E01001809,570
E01001811,670
E01001812,568
E01001813,794
E01001814,554
E01001815,668
E01001816,618
E01001819,747
E01001820,575
E01001821,585
E01001822,676
E01001823,520
E01001824,505
E01001825,402
E01001826,526
E01001827,596
E01001828,816
E01001829,663
E01001830,895
E01001831,785
E01001832,624
E01001833,921
E01001834,806
E01001835,492
E01001836,813
E01001837,637
E01001838,696
E01001839,1039
E01001840,660
E01001841,632
E01001842,643
E01001843,478
E01001844,709
E01001845,725
E01001846,536
E01001847,556
E01001848,697
E01001849,1016
E01001850,707
E01001851,647
E01001852,920
E01001853,664
E01001854,883
E01001855,883
E01001856,722
E01001857,782
E01001858,724
E01001859,1149
E01001860,773
E01001861,627
E01001862,837
E01001863,627
E01001864,695
E01001865,668
E01001866,656
E01001867,536
E01001868,593
E01001869,588
E01001870,911
E01001871,704
E01001872,714
