year,model_run,new_ranking_quintile_deprivation,mean_emission,median_emission,p25,p75,sd,n,se,baseline_median,baseline_p25,baseline_p75,pct_median,pct_p25,pct_p75,deprivation
2025-01-01,Suitability-driven uptake,1,3.85218458261671,3.0887874844517933,2.5859651189090713,4.129026301460782,2.5608563724521516,107,0.2475673298454607,3.0887874844517933,2.5859651189090713,4.129026301460782,0,0,0,Q1 (most deprived)
2025-01-01,Suitability-driven uptake,5,1.9149358172362805,1.614733706660434,1.2414377278033233,2.325372585685377,0.9575789485587838,122,0.08669512450237996,1.614733706660434,1.2414377278033233,2.325372585685377,0,0,0,Q5 (least deprived)
2026-01-01,Current trends persist,1,3.8593217416853656,3.0852722234228094,2.5930188358819564,4.137852941601167,2.5653606017332087,107,0.2480027701255633,3.089872732823157,2.5944309278885633,4.139741662142065,-0.14888993166214398,-0.05442781272100304,-0.04562411606911683,Q1 (most deprived)
2026-01-01,Current trends persist,5,1.9125465144599403,1.6174446815849672,1.2370433950158999,2.3240530582800676,0.9593619258848385,122,0.08685654768477122,1.619146567609594,1.2397385014734232,2.3262527151154733,-0.10511006592437695,-0.21739314011142138,-0.09455794811598937,Q5 (least deprived)
2026-01-01,Suitability-driven uptake,1,3.846826472054389,3.083903866780655,2.581796469700071,4.1236462234078965,2.558663219074772,107,0.24735530970586203,3.0887874844517933,2.5859651189090713,4.129026301460782,-0.15810792084988537,-0.16120283984181866,-0.13029895331454455,Q1 (most deprived)
2026-01-01,Suitability-driven uptake,5,1.912402519783961,1.6116121564098291,1.239342822114383,2.322909214327477,0.9564595771940148,122,0.08659378138077196,1.614733706660434,1.2414377278033233,2.325372585685377,-0.1933167207527195,-0.16874835056343787,-0.10593448005122998,Q5 (least deprived)
2027-01-01,Current trends persist,1,3.85609099926655,3.078784325550524,2.5910279923519823,4.13519253072039,2.5645979979298477,107,0.2479290464332239,3.089872732823157,2.5944309278885633,4.139741662142065,-0.3588629122113284,-0.13116308088997472,-0.10988925862877266,Q1 (most deprived)
2027-01-01,Current trends persist,5,1.9089928961530052,1.61504265186286,1.2332412079105506,2.320944929388104,0.9587802905849466,122,0.08680388889897085,1.619146567609594,1.2397385014734232,2.3262527151154733,-0.2534616586806424,-0.5240858096405533,-0.22816892132485464,Q5 (least deprived)
2027-01-01,Suitability-driven uptake,1,3.8393212884130827,3.0756004700094337,2.5759600847905118,4.116124982893524,2.555587441912167,107,0.24705796310433567,3.0887874844517933,2.5859651189090713,4.129026301460782,-0.4269317493916245,-0.3868974892739601,-0.31245425980197566,Q1 (most deprived)
2027-01-01,Suitability-driven uptake,5,1.9088554932902595,1.6072339811379677,1.2364030467545524,2.3194692727706174,0.954892832805008,122,0.0864519350086553,1.614733706660434,1.2414377278033233,2.325372585685377,-0.4644558722922221,-0.4055524442357325,-0.2538652494270932,Q5 (least deprived)
