PCON25CD,PCON25NM,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking
E14001330,Lewes,95204,27143.981329565984,29471,7,59,0,0,6,10.16949152542373,447
E14001164,Chester South and Eddisbury,89188,29058.297657756648,29494,7,49,1,2.0408163265306123,9,18.367346938775512,448
E14001449,Romsey and Southampton North,94946,28400.45008741811,29517,7,57,0,0,12,21.052631578947366,449
E14001217,East Wiltshire,92868,29552.371301201707,29616,7,51,0,0,4,7.8431372549019605,450
E14001288,Hinckley and Bosworth,97903,27251.169136798668,29694,7,57,0,0,6,10.526315789473683,451
E14001292,Hornchurch and Upminster,105829,25342.93889671073,29720,7,62,1,1.6129032258064515,8,12.903225806451612,452
E14001357,Melton and Syston,95217,28780.051755463835,29811,7,54,0,0,7,12.962962962962962,453
W07000090,Cardiff North,91751,27373.59852208695,29828,7,56,2,3.571428571428571,0,0,454
E14001489,South Norfolk,84752,29701.81803379271,29869,7,49,0,0,8,16.3265306122449,455
E14001526,Stratford-on-Avon,91868,29693.537809683457,29919,7,50,0,0,7,14.000000000000002,456
E14001312,Kingston and Surbiton,115785,29104.685127607205,29947,7,66,0,0,6,9.090909090909092,457
E14001117,Bracknell,99331,30512.014300671493,29988,7,64,0,0,20,31.25,458
E14001215,East Surrey,98978,28755.6969326517,30024,7,56,0,0,7,12.5,459
E14001379,Newcastle upon Tyne North,101268,27100.586246395702,30027,7,63,2,3.1746031746031744,16,25.396825396825395,460
E14001384,North Bedfordshire,89788,29527.458374170266,30073,7,54,0,0,5,9.25925925925926,461
E14001386,North Cotswolds,78927,29947.567036628785,30163,8,45,0,0,7,15.555555555555555,462
E14001156,Central Suffolk and North Ipswich,91456,28406.29326670749,30191,8,50,2,4,11,22,463
E14001363,Mid Dorset and North Poole,96730,30751.34701747131,30198,7,61,0,0,19,31.147540983606557,464
